NO,instructions(en),instruction(jp),explanation(en),explanation(jp),response(en),response(jp),type
52,Who wrote the US's Declaration of Independence?,米国の独立宣言を書いたのは誰ですか?,"Thomas Jefferson drafted the Declaration of Independence, which was the formal statement declaring the U.S. its own country independent from Britain.",トーマス・ジェファーソンは、アメリカ自身の国がイギリスから独立していることを宣言する正式な声明である独立宣言を起草しました。,Thomas Jefferson,トーマス・ジェファーソン,open_qa
53,When was the US'sDeclaration of Independence adopted??,米国の独立宣言はいつ採択されましたか?,"On July 4, 1776, the Continental Congress adopted the Declaration of Independence. The U.S. now celebrates Independence Day every July 4th.",1776 年 7 月 4 日、大陸会議は独立宣言を採択しました。現在、米国は毎年 7 月 4 日に独立記念日を祝います。,"July 4th, 1776",1776年7月4日,open_qa
54,"Choose item from the following list, which is not related to 13 original states when America started: New Hampshire, Massachusetts, Hakata Nakasu, Rhode Island, Connecticut",以下のリストのうち、アメリカが発足したときの 13 州に該当しないものを挙げてください：ニューハンプシャー州、マサチューセッツ州、博多中州、ロードアイランド州、コネチカット州," New Hampshire, Massachusetts, Rhode Island, and Connecticut, are all among the original 13 states of the United States. ",ニューハンプシャー州、マサチューセッツ州、ロードアイランド州、コネチカット州はすべて、米国の元の 13 州に含まれています。,Hakata Nakasu,博多中州,classification
55,"Choose item from the following list, which is unrelated to what happened at the Constituent Assembly in the U.S. : The Constitution was written, The Founding Fathers drafted the Constitution, God came down from heaven",以下のリストのうち、米国の憲法制定会議で起こったことに関係のないものを選べ：憲法が書かれた、建国の父たちが憲法を起草した、天から神が降りてきた,"The Constitution was written and the Founding Fathers drafted the Constitution at the Constituent Assembly in the U.S.?The Constitutional Convention took place in Philadelphia from May 14-September 17, 1787 with the goal of redesigning the system of government.",憲法は制定され、建国の父たちは米国の制憲議会で憲法を草案しました。憲法会議は、統治システムの再設計を目的として、1787 年 5 月 14 日から 9 月 17 日までフィラデルフィアで開催されました。,god came down from heaven,天から神が降りてきた,classification
56,When was the Constitution written in the U.S.?,米国において、憲法はいつ書かれましたか?,The Constitution was written during the Constitutional Convention in Philadelphia.,この憲法はフィラデルフィアでの憲法会議中に書かれた。,Year of 1787,1787年,open_qa
57,"Choose is from the following list, which person is unrelated author of the United States Constitution :(james)Madison, (Kent) Gilbert, (Alexander) Hamilton,(John)jay",以下のリストのうち、合衆国憲法の筆者に関係のない人物を挙げてください：(ジェームズ)マディソン、（ケント）ギルバート、（アレクサンダー）ハミルトン、(ジョン)ジェイ,"Kent Gilbert is an American commentator and tarento working in Japan, lawyer of California. James Madison, Alexander Hamilton, and John Jay were all influential framers of the United States Constitution. The Federalist Papers consisted of 85 essays arguing for the ratification of the U.S. Constitution.",ケント・ギルバートは日本で活動するアメリカ人のコメンテーター兼タレントであり、カリフォルニア州の弁護士です。ジェームズ・マディソン、アレクサンダー・ハミルトン、ジョン・ジェイはいずれもアメリカ合衆国憲法の制定者として影響力がありました。フェデラリスト文書は、米国憲法の批准を主張する 85 のエッセイで構成されていました。,(Kent) Gilbert,（ケント）ギルバート,classification
58,"Choose item from the following list, which is not related to Benjamin Franklin's famous thing: U.S. diplomat, oldest member of the Constitutional Convention, first postmaster of the United States, ""Poor Richard's Almanac', launched the first free library, America's first Youtuber",以下のリストのうち、ベンジャミン・フランクリンの有名なことに該当しないものを挙げなさい：米国外交官、憲法制定会議の最年長メンバー、アメリカ合衆国初代郵便局長、「Poor Richard's Almanac」の著者、最初の無料図書館を開始しました、アメリカ初のYoutuber,"Benjamin Franklin was a man of many talents and accomplishments. He was a writer, scientist, inventor, statesman, diplomat, printer, publisher, and political philosopher. He was one of the Founding Fathers of the United States and a drafter and signer of the Declaration of Independence. He was also the first postmaster general1 and launched the first free library. Franklin is also known for his publication ""Poor Richard’s Almanack"". However, he was not America’s first YouTuber.",ベンジャミン・フランクリンは多くの才能と功績を残した人物でした。彼は作家、科学者、発明家、政治家、外交官、印刷業者、出版社、そして政治哲学者でした。彼はアメリカ合衆国建国の父の一人であり、独立宣言の起草者および署名者でもありました。彼は初代郵便局長でもあり1、最初の無料図書館を立ち上げました。フランクリンは『Poor Richard's Almanack』という著書でも知られています。ただし、彼はアメリカ初のYouTuberではありませんでした。,America's first Youtuber,アメリカ初のYoutuber,classification
59,"Who is considered the ""Father of the United States""?",「米国の父」と考えられているのは誰ですか?,"George Washington was the commander of the army during the American Revolution, he presided over the Constitutional Convention, and he was the first president of the United States.",ジョージ ワシントンはアメリカ独立戦争中の陸軍司令官であり、憲法制定会議を主宰し、アメリカ合衆国の初代大統領でした。,George Washington,ジョージ　ワシントン,open_qa
60,Who was the first U.S. President?,米国の初代大統領は誰ですか?,George Washington was president of the United States from 1789-1797.,ジョージ・ワシントンは 1789 年から 1797 年までアメリカ合衆国大統領でした。,George Washington,ジョージ　ワシントン,open_qa
61,What territory did the United States buy from France in 1803?,1803年にアメリカがフランスから購入した領土はどこですか?,"Known as the Louisiana Purchase, the United States paid France $15 million for the 828,000 square miles of land.","ルイジアナ購入として知られる、米国はフランスに828,000平方マイルの土地の対価として1,500万ドルを支払った。",Louisiana,ルイジアナ,open_qa
62,"Choose item from the following list, which is not related to wars fought by the United States in 19th century: War of 1812, Seinan War, Mexican-American War, Civil War, Spanish-American War",以下のリストのうち、1800年代に米国が戦った戦争に該当しないものを挙げてください：1812 年戦争、西南戦争、米墨戦争、南北戦争、米西戦争,"The Satsuma Rebellion is the item from the list that is not related to wars fought by the United States in the 19th century. The Satsuma Rebellion, also known as the Seinan War, was a revolt of disaffected samurai against the new imperial government of Japan, nine years into the Meiji era. It was not a war fought by the United States. War of 1812, Mexican-American War, Civil War, and Spanish-American War were all wars fought by the United States in the 19th century. ",西南戦争は、19 世紀に米国が行った戦争と関係のないリストの項目です。西南戦争としても知られる西南戦争は、明治時代が始まって 9 年目に、日本の新しい帝国政府に対する不満を抱いた武士たちの反乱でした。それは米国が行った戦争ではありませんでした。1812 年戦争、米墨戦争、南北戦争、米西戦争は、いずれも 19 世紀に米国が戦った戦争です。,Seinan War,西南戦争,open_qa
63,What is the name of the war between the North and South of America at the year of 1861?,1861 年から始まるアメリカの南北間の戦争の名前は何か？,"The war between the North and South of America that began in the year 1861 is known as the American Civil War. It was fought between the United States and 11 Southern states that seceded from the Union and formed the Confederate States of America. The war lasted for four years, from 1861 to 18651. It is also known as the War Between the States.",1861年に始まったアメリカの南北戦争は南北戦争として知られています。この戦いは、アメリカ合衆国と、連邦から離脱してアメリカ南部連合を形成した南部11州との間で行われた。この戦争は 1861 年から 18651 年までの 4 年間続きました。国家間戦争としても知られています。,civil war,南北戦争,open_qa
64,"Choose item from the following list, which is the irrelevant issues that caused the Civil War: slavery, economic reasons, state rights, global warming.",以下のリストのうち、南北戦争を引き起こした問題として不適当なものを挙げてください：奴隷制、経済的理由、州の権利、地球温暖化,"The Civil War was fought from 1861 to 1865, and the main causes were slavery, economic reasons, and state rights. Global warming is a modern issue that has become more prominent in recent years due to the increase in greenhouse gas emissions and other human activities that contribute to climate change. It was not a factor in the Civil War. The American Civil War was fought from 1861-1865 between the Union Army and the Confederate States of America.",南北戦争は 1861 年から 1865 年まで行われ、主な原因は奴隷制、経済的理由、国家の権利でした。地球温暖化は、温室効果ガスの排出量の増加や気候変動に寄与するその他の人間活動により、近年ますます顕著になっている現代の問題です。それは南北戦争の要因ではありませんでした。アメリカ南北戦争は、1861 年から 1865 年まで北軍とアメリカ南部の間で戦われました。,global warming,地球温暖化,classification
65,"Choose item from the following list, which is not related to  important things that Abraham Lincoln did: He freed the slaves (Proclamation of Emancipation), led the United States during the Civil War, treated his friends favorably at the cherry blossom party.",以下のリストのうち、エイブラハム・リンカーンがした重要なことに該当しないものを挙げなさい：奴隷を解放した（奴隷解放宣言）、南北戦争中に米国を率いた、桜を見る会でお友達を優遇した,"Abraham Lincoln was the 16th President of the United States and is known for his leadership during the Civil War and for issuing the Emancipation Proclamation, which declared that all slaves in Confederate territory were to be set free. However, there is no historical record of him treating his friends favorably at a cherry blossom party.Abraham Lincoln served as U.S. president from 1861 until he was assassinated in 1865.",エイブラハム・リンカーンは第 16 代アメリカ合衆国大統領であり、南北戦争中の指導力と、南軍領土内のすべての奴隷を解放することを宣言する奴隷解放宣言を発布したことで知られています。しかし、彼が桜の花見パーティーで友人を好意的に扱ったという歴史的記録はありません。エイブラハム・リンカーンは、1861年から1865年に暗殺されるまで米国大統領を務めました。,treated his friends favorably at the cherry blossom party,桜を見る会でお友達を優遇した,classification
66,"Choose item from the following list, which Susan B. Anthony didn't do: fight for women's rights, fight for civil rights, went to Paris and uploaded pics into SNS",以下のリストのうち、スーザン・B・アンソニーがしなかったことは何か：女性の権利のために戦った、公民権のために戦った、パリに行ったことをSNSで自慢した,"Susan B. Anthony was an American social reformer and women’s rights activist who played a pivotal role in the women’s suffrage movement. She was born into a Quaker family committed to social equality and collected anti-slavery petitions at the age of 17. She also campaigned against slavery and for women to be given the vote. However, there is no record of her going to Paris and uploading pictures into SNS.",スーザン・B・アンソニーはアメリカの社会改革者であり、女性の権利活動家であり、女性参政権運動で中心的な役割を果たした。彼女は社会的平等に尽力するクエーカー教徒の家庭に生まれ、17 歳で奴隷制度反対の署名活動を行いました。また、奴隷制度に反対し、女性に投票権を与えるよう運動しました。しかし、彼女がパリに行って写真をSNSにアップしたという記録はない。,went to Paris and uploaded pics into SNS,パリに行ったことをSNSで自慢した,classification
67,"Choose item from the following list, which war the United States did not fight in the 20th century: World War I, World War II, Genma War, Korean War, Vietnam War,(Persia)Gulf War",以下のリストのうち、1900年代に米国が戦った戦争ではないものを挙げなさい：第一次世界大戦、第二次世界大戦、幻魔大戦、朝鮮戦争、ベトナム戦争、(ペルシャ)湾岸戦争,"Genma War is not a real war, but rather a Japanese science fiction manga and novel franchise that began in 1967. It was a collaboration in Weekly Shōnen Magazine by science fiction writer Kazumasa Hirai and manga artist Shotaro Ishinomori. The other wars you mentioned, World War I, World War II, Korean War, Vietnam War, and the Persian Gulf War, were all real wars that the United States fought in during the 20th century.",幻魔大戦は実際の戦争ではなく、1967 年に始まった日本の SF 漫画および小説シリーズです。それは、SF 作家の平井和正と漫画家の石ノ森章太郎による週刊少年マガジンでのコラボレーションでした。あなたが言及した他の戦争、第一次世界大戦、第二次世界大戦、朝鮮戦争、ベトナム戦争、ペルシャ湾岸戦争はすべて、20世紀に米国が戦った実際の戦争です。,Genma Wars,幻魔大戦,classification
68,Who was the U.S. President during World War I?,第一次世界大戦中の米国大統領は誰ですか?,Woodrow Wilson was the 28th U.S. president from 1913-1921.,ウッドロー・ウィルソンは、1913 年から 1921 年まで第 28 代米国大統領でした。,Woodrow Wilson,ウッドロウ ウィルソン,open_qa
69,Who was U.S. President during the Great Depression and World War II?,大恐慌と第二次世界大戦中の米国大統領は誰ですか?,"Franklin Roosevelt, known as FDR, served as president from 1933-1945.",FDR として知られるフランクリン ルーズベルトは、1933 年から 1945 年まで大統領を務めました。,Franklin Roosevelt,フランクリン ルーズベルト,open_qa
70,Who did the United States fight in World War II?,第二次世界大戦で米国は誰と戦ったのですか?,"During World War II, the United States fought against the Axis powers, which included Germany, Italy, and Japan. The United States entered the war after the surprise attack on Pearl Harbor by the Empire of Japan on December 7, 1941. Three days later, Germany and Italy declared war on the United States. The United States played a major role as one of the Allies in their victory over the Axis powers.",第二次世界大戦中、米国はドイツ、イタリア、日本を含む枢軸国と戦った。 1941 年 12 月 7 日の大日本帝国による真珠湾奇襲攻撃の後、米国は戦争に参戦しました。3 日後、ドイツとイタリアが米国に宣戦布告しました。米国は枢軸国に対する勝利において連合国の一つとして重要な役割を果たした。,"Japan, Germany, Italy",日本、ドイツ、イタリア,open_qa
71,"Before Eisenhower was President, he was a general. What war was he in?",アイゼンハワーは大統領になる前は将軍でした。彼はどんな戦争に参加したのですか？,"Dwight D. Eisenhower was an American military officer and statesman who served as the 34th president of the United States from 1953 to 1961. During World War II, he served as Supreme Commander of the Allied Expeditionary Force in Europe and achieved the five-star rank as General of the Army. Eisenhower planned and supervised two of the most consequential military campaigns of World War II: Operation Torch in the North Africa campaign in 1942–1943 and the D-Day invasion of Normandy in 1944. ",ドワイト・D・アイゼンハワーはアメリカの軍人、政治家で、1953年から1961年まで第34代大統領を務めた。第二次世界大戦中、ヨーロッパ連合遠征軍最高司令官を務め、陸軍大将として五つ星を獲得した。アイゼンハワーは、第二次世界大戦で最も重要な2つの軍事作戦を計画、指揮した： 1942年から1943年にかけての北アフリカでのトーチ作戦と、1944年のノルマンディー上陸作戦である。,Second World War,第二次世界大戦,open_qa
72,"During the Cold War, what was the main concern of the United States?",冷戦中、米国の主な関心事は何でしたか?,The Cold War was an ideological battle fought between the United States and the Soviet Union.,冷戦は、米国とソ連の間で戦われたイデオロギーの戦いでした。,elimination of communism,共産主義の排除,open_qa
73,What movement tried to end racial discrimination in the U.S.?,米国において、人種差別をなくそうとした運動は何ですか?,"The American civil rights movement, which took place during the 1950s and 1960s, demanded an end to racial segregation and discrimination.",1950 年代から 1960 年代にかけて起こったアメリカの公民権運動は、人種隔離と差別の廃止を要求しました。,Civil rights (movement),公民権（運動）,open_qa
74,"Choose item from the list, what Martin Luther King Jr. didn't do? : Propagate Buddhism, Fight for Civil Rights, Work for Equality for All Americans",以下のリストのうち、マーティン・ルーサー・キング・ジュニアがしなかったことは何か：仏教を布教した、公民権のために戦った、すべてのアメリカ人の平等のために働いた," Martin Luther King Jr. was a Baptist minister and a leader in the Civil Rights Movement. He fought for civil rights and worked for equality for all Americans, but he did not propagate Buddhism.Martin Luther King Jr. was a leading civil rights activist and a recipient of the Nobel Peace Prize.",マーティン・ルーサー・キング・ジュニアはバプテストの牧師であり、公民権運動の指導者でした。彼は公民権のために戦い、すべてのアメリカ人の平等のために働きましたが、仏教を広めませんでした。マーティン・ルーサー・キング・ジュニアは、主要な公民権活動家であり、ノーベル平和賞の受賞者でした。,Propagate Buddhism,仏教を布教した,classification
75,"What major event happened on September 11, 2001, in the U.S.?",2001年9月11日に米国で起こった大きな出来事は何ですか?,"September 11, also known as 9/11, was a series of four coordinated terrorist attacks carried out by Al Qaeda, a Muslim extremist group.",9/11 としても知られる 9 月 11 日は、イスラム過激派組織アルカイダによって実行された一連の 4 回の共同テロ攻撃でした。,Terrorists have attacked the United States.,テロリストが米国を攻撃しました。,open_qa
76,"Choose item from the following list, which is non-native American tribes of the United States : Cherokee, Apache, Shocker, Cheyenne",以下のリストのうち、米国のネイティブアメリカンではない部族挙げてください：チェロキー、アパッチ、ショッカー、シャイアン,"The Cherokee, Apache, and Cheyenne are all Native American tribes. ",チェロキー、アパッチ、シャイアンはすべてアメリカ先住民の部族です。,Shocker,ショッカー,open_qa
77,What is the longest river in the United States?,米国で最も長い川は何か？,"The longest river in the United States is the Missouri River. It rises in the Eastern Centennial Mountains of the Bitteroot Range of the Rocky Mountains of Southwestern Montana and flows east and south for 2,341 miles (3,767 km) before entering the Mississippi River north of St. Louis, Missouri.","アメリカで最も長い川はミズーリ川です。モンタナ州南西部のロッキー山脈のビッテルート山脈の東センテニアル山脈に源を発し、東と南に 2,341 マイル (3,767 km) 流れ、ミズーリ州セントルイスの北でミシシッピ川に注ぎます。",Missouri River(Mississippi River),ミズーリ川(ミシシッピ川),open_qa
78,What ocean is on the West Coast of the United States?,アメリカの西海岸にある海は何ですか?,"The ocean on the West Coast of the United States is the Pacific Ocean. It is the largest ocean in the world and covers one-third of the Earth’s surface. The Pacific Ocean reaches from the West Coast of the United States to Asia and Australia1. The states of Alaska, Washington, Oregon, California, and Hawaii border the Pacific Ocean. The Pacific Ocean is important to the U.S. economy because of its many natural resources such as fish.",アメリカ西海岸の海は太平洋です。それは世界最大の海であり、地球の表面の3分の1を占めています。太平洋は、米国西海岸からアジア、オーストラリアまで広がっています1。アラスカ州、ワシントン州、オレゴン州、カリフォルニア州、ハワイ州は太平洋に面しています。太平洋は魚などの天然資源が豊富なため、米国経済にとって重要です。,Pacific ocean,太平洋,open_qa
79,What ocean is on the East Coast of the United States?,アメリカの東海岸にある海は何ですか?,"The ocean on the East Coast of the United States is the Atlantic Ocean. The Atlantic Ocean reaches from the East Coast of the United States to Europe and Africa. The 13 original colonies bordered the Atlantic Ocean. There are fourteen states which have coastal access to the Atlantic Ocean. These states, in order from north to south, are: Maine, New Hampshire, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Delaware, Maryland, Virginia, North Carolina, South Carolina, Georgia, and Florida.",アメリカ東海岸の海は大西洋です。大西洋は、米国東海岸からヨーロッパ、アフリカまで広がっています。当初の 13 の植民地は大西洋に隣接していました。大西洋への沿岸アクセスを持つ州は 14 州あります。これらの州は、北から南の順に、メイン、ニューハンプシャー、マサチューセッツ、ロードアイランド、コネチカット、ニューヨーク、ニュージャージー、デラウェア、メリーランド、バージニア、ノースカロライナ、サウスカロライナ、ジョージア、フロリダです。,Atlantic Ocean,大西洋,open_qa
80,"Choose non-US territories from the following list: Puerto Rico, Pyong yang, US Virgin Islands, American Samoa, Northern Mariana Islands, Guam",以下のリストのうち、米国の領土ではないものを挙げてください：プエルトリコ、ピョンヤン、米領バージン諸島、アメリカ領サモア、北マリアナ諸島、グアム,"Puerto Rico, US Virgin Islands, American Samoa, Northern Mariana Islands, and Guam are territories of the United States. The U.S. has five major territories, meaning pieces of land owned and controlled by the United States.",プエルトリコ、米領ヴァージン諸島、米領サモア、北マリアナ諸島、グアムは米国の領土です。米国には 5 つの主要領土があり、これは米国が所有および管理する土地を意味します。,Pyong yang,ピョンヤン,classification
81,"Choose item that is not related to border of Canada from the following list: Maine, Texas, Vermont, New York",以下のリストのうち、カナダと国境を接していない州を挙げてください：メイン州、テキサス州、バーモント州、ニューヨーク州,"Maine, Vermont, and New York are all states in the United States that share a border with Canada. Texas, on the other hand, is a state in the southern United States and does not share a border with Canada. ",メイン州、バーモント州、ニューヨーク州はすべて、カナダと国境を接する米国の州です。一方、テキサス州は米国南部の州であり、カナダと国境を接していません。,Texas,テキサス州,classification
82,"Choose item which is not related to border of Mexico from the following list: California, Arizona, Alaska, Texas",以下のリストのうち、メキシコと国境を接しない州を一つ挙げてください：カリフォルニア州、アリゾナ州、アラスカ州、テキサス州,"California, Arizona, and Texas are all states in the United States that share a border with Mexico. Alaska, on the other hand, is a state in the United States that is located in the northwest extremity of North America and does not share a border with Mexico. ",カリフォルニア、アリゾナ、テキサスはすべてメキシコと国境を接する米国の州です。一方、アラスカ州は、北米の北西端に位置し、メキシコと国境を接していない米国の州です。,Alaska,アラスカ州,classification
83,Where is the capital of USA?,米国の首都はどこですか?,"Washington D.C., officially called the District of Columbia, is where the White House and the Capitol are located.",ワシントン DC は正式にはコロンビア特別区と呼ばれ、ホワイトハウスと国会議事堂が位置します。,"Washington, D.C.",ワシントンDC,open_qa
84,"Choose item from the following list, which is not related to the Statue of Liberty: Sakai Port, Liberty Island, New Jersey, near New York City, along the Hudson River",以下のリストのうち、自由の女神に関係のない場所はどれですか：堺港、リバティ島、ニュージャージー州、ニューヨーク市近郊、ハドソン川沿い,"The Statue of Liberty, located on Liberty Island in New York City, was a gift from France to celebrate the friendship between the two countries. It has become a symbol for freedom and justice.",ニューヨーク市のリバティ島にある自由の女神は、両国の友好を祝うためにフランスから贈られたものです。自由と正義の象徴となっています。,Sakai Port,堺港,classification
85,Why does the flag have 13 stripes in U.S.?,なぜ米国旗には13本の縞があるのですか?,"The flag of the United States has 13 stripes to represent the original thirteen British colonies that declared independence from Great Britain and became the founding states of the US. These thirteen colonies were grouped into three: the Middle Colonies, New England colonies, and Southern Colonies. The colony of Rhode Island, Connecticut, Province of Massachusetts Bay, and Province of New Hampshire made up the New England Colonies. The Province of New Jersey, Delaware Colony, Province of New York, proprietary colony, and the province of Pennsylvania made up the Middle Colonies. The province of Carolina (North and South Carolina), Colony and Dominion of Virginia, Maryland, and the province of Georgia made up the Southern Colonies.",米国の国旗には 13 の縞模様があり、英国からの独立を宣言し、米国建国の州となった元の 13 の英国植民地を表しています。これら 13 の植民地は、中部植民地、ニューイングランド植民地、および南部植民地の 3 つにグループ化されました。ロードアイランド州、コネチカット州、マサチューセッツ湾州、およびニューハンプシャー州の植民地がニューイングランド植民地を構成しました。ニュージャージー州、デラウェア植民地、ニューヨーク州、専有植民地、およびペンシルベニア州が中部植民地を構成しました。カロライナ州 (ノースカロライナ州とサウスカロライナ州)、バージニア州の植民地および自治領、メリーランド州、およびジョージア州で南部植民地が構成されました。,Because there were 13 original colonies,元の植民地が13個あったため,open_qa
86,Why does the flag have 50 stars in U.S.?,米国旗にはなぜ50個の星があるのですか?,"The flag of the United States has 50 stars to represent the 50 states of the union. The number of stars on the flag has changed over the years as new states were added to the union. The current design with 50 stars has been in the U.S.? since July 4, 1960, when Hawaii became the 50th state.",米国の国旗には、連邦加盟 50 州を表す 50 個の星が付いています。新しい州が連合に追加されるにつれて、国旗の星の数は長年にわたって変化してきました。 50 個の星が描かれた現在のデザインは、ハワイが 50 番目の州となった 1960 年 7 月 4 日から使用されています。,Because there are 50 states,州が50あるため,open_qa
87,What is the name of the national anthem in U.S.?,米国歌の名前は何ですか?,"The national anthem of the United States is called ""The Star-Spangled Banner"". The lyrics come from a poem called “Defence of Fort M’Henry” written by Francis Scott Key after witnessing the bombardment of Fort McHenry by British ships during the War of 1812. The poem was set to the tune of a popular British song written by John Stafford Smith for the Anacreontic Society, a men’s social club in London. This setting, renamed “The Star-Spangled Banner”, soon became a well-known U.S. patriotic song. On March 3, 1931, the U.S. Congress passed a joint resolution making the song the official national anthem of the United States, which President Herbert Hoover signed into law.",アメリカの国歌は「星条旗」と呼ばれます。この歌詞は、1812年の米英戦争中に英国船によるマクヘンリー砦砲撃を目撃したフランシス・スコット・キーが書いた「ヘンリー砦の防衛」という詩から来ている。この詩は、フランシス・スコット・キーが書いたイギリスの人気曲に合わせて作られたものである。ロンドンの男性社交クラブ、アナクレオンティック協会のジョン・スタッフォード・スミス氏。この（詩と曲の）組合せは「星条旗」と改名され、すぐに米国でよく知られる愛国的な歌になりました。 1931年3月3日、米国議会はこの歌を米国の公式国歌とする共同決議を可決し、ハーバート・フーバー大統領が署名して成立した。,The Star-Spangled Banner,星条旗,open_qa
88,When do we celebrate Independence Day in U.S.?,米国の独立記念日はいつ祝いますか?,"Independence Day, also known as the Fourth of July or July 4th, is celebrated in the United States as the annual celebration of nationhood. It commemorates the passage of the Declaration of Independence by the Continental Congress on July 4, 1776. On this day, most Americans enjoy grills in their backyards, at beaches, or in parks. Some partake in parades or marches and enjoy the fireworks that are often launched at dusk. ",独立記念日は、独立記念日または 7 月 4 日としても知られ、米国では毎年建国を祝う日として祝われます。 1776 年 7 月 4 日に大陸会議で独立宣言が可決されたことを記念します。この日、ほとんどのアメリカ人は裏庭、ビーチ、公園でグリルを楽しみます。パレードや行進に参加したり、夕暮れ時に打ち上げられることが多い花火を楽しむ人もいます。,4th July,7月4日,open_qa
89,"Choose item from the following list, which is not U.S. holidays: New Year's Day, Martin Luther King Jr. Day, Presidents Day, Memorial Day, Independence Day,13th Friday",米国の祝日ではないものを挙げてください：元旦、マーティン・ルーサー・キングの日、大統領の日、戦没将兵追悼記念日、独立記念日、13日の金曜日,"New Year’s Day is on January 1st, Martin Luther King Jr. Day is on the third Monday of January, Presidents Day is on the third Monday of February, Memorial Day is on the last Monday of May, and Independence Day is on July 4th.",元旦は1月1日、マーティン・ルーサー・キング・ジュニアデーは1月の第3月曜日、大統領の日は2月の第3月曜日、戦没将兵追悼記念日は5月の最終月曜日、独立記念日は7月4日です。,13th Friday,13日の金曜日,classification
90,What is the smallest state in the United States?,米国の最小の州はどこですか?,"According to World Atlas, Rhode Island is the smallest state in the United States with a total area of 3,144 square kilometers. It is only 41 miles in length and 20 miles wide (66 x 22 kilometers) and has over 384 miles (618 kilometers) of shoreline. The highest point is Jerimoth Hill in Foster at 812 feet (247.5 meters).","World Atlas によると、ロードアイランド州は総面積 3,144 平方キロメートルで米国最小の州です。長さはわずか 41 マイル、幅は 20 マイル (66 x 22 キロメートル) で、海岸線は 384 マイル (618 キロメートル) 以上あります。最高点はフォスターのジェリモス ヒルで、標高 812 フィート (247.5 メートル) です。",Rhode island,ロードアイランド,open_qa
91,Where can you find Lake Winnebago?,ウィネベーゴ湖はどこにありますか?,"Lake Winnebago is a shallow freshwater lake located in east central Wisconsin, United States. It is the largest lake entirely within the state, covering an area of about 30 miles by 10 miles with 88 miles of shoreline, an average depth of 15.5 feet, and a maximum depth of 21 feet. Cities on its shores include Oshkosh, Neenah, Menasha, and Fond du Lac at the south shore. ",ウィネベーゴ湖は、アメリカ合衆国ウィスコンシン州中東部に位置する浅い淡水湖です。この湖は州内最大の湖で、面積は約 30 マイル×10 マイル、海岸線は 140 マイル、平均深さは 4.5 フィート、最大深さは 6 フィートです。海岸沿いの都市には、オシュコシュ、ニーナ、メナーシャ、南岸のフォン デュ ラックなどがあります。,Wisconsin,ウィスコンシン州,open_qa
92,What is the largest U.S. state by landmass?,陸地で米国最大の州はどこですか?,"Alaska is the largest state in the United States by landmass. It has a total land area of 570,640.95 square miles (1,477,953 km²), which is about 18% of the total area of the United States and equivalent to 21% of the area of the contiguous United States1. Alaska is followed by Texas, which has a land area of 261,231.71 square miles (676,587 km²).","アラスカ州は陸地面積で米国最大の州です。総陸地面積は 570,640.95 平方マイル (1,477,953 km²) で、これは米国総面積の約 18% であり、隣接する米国本土の面積の 21% に相当します1。アラスカに次いでテキサスがあり、その面積は 261,231.71 平方マイル (676,587 km²) です。",Alaska,アラスカ,open_qa
93,Where would you find Mount Rushmore?,ラシュモア山はどこにありますか?,"Mount Rushmore is located in the Black Hills of South Dakota, United States. It is a colossal sculpture that lies about 25 miles (40 km) southwest of Rapid City, 10 miles (16 km) northeast of Custer, and just north of Custer State Park. The mountain itself, at an elevation of 5,725 feet (1,745 metres), was named in 1885 for Charles E. Rushmore, a New York lawyer. The memorial covers 2 square miles (5 square km) and was designated in 1925 and dedicated in 1927. The U.S. National Park Service (NPS) assumed administration of the site in 1933.","ラシュモア山は、米国サウスダコタ州のブラックヒルズにあります。これは、ラピッド シティーの南西約 25 マイル (40 km)、カスターの北東 16 km (10 マイル)、カスター州立公園のすぐ北に位置する巨大な彫刻です。標高 5,725 フィート (1,745 メートル) の山自体は、1885 年にニューヨークの弁護士チャールズ E. ラッシュモアにちなんで命名されました。この記念碑の面積は 2 平方マイル (5 平方キロメートル) で、1925 年に指定され、1927 年に奉献されました。米国国立公園局 (NPS) が 1933 年にこの場所の管理を引き継ぎました。",South dakota,サウスダコタ,open_qa
94,What is the largest lake in the U.S.?,アメリカ最大の湖はどこですか?,"The largest lake in the United States is Lake Superior. It is one of the Great Lakes and is shared by the states of Michigan, Minnesota, and Wisconsin, as well as the Canadian province of Ontario. Lake Superior has an area of 31,700 square miles (82,103 square kilometers) and is the third-largest freshwater lake in the world by volume. It is known for its deep, clear waters and rugged shoreline. ","アメリカ最大の湖はスペリオル湖です。五大湖の 1 つで、ミシガン州、ミネソタ州、ウィスコンシン州とカナダのオンタリオ州で共有されています。スペリオル湖の面積は 31,700 平方マイル (82,103 平方キロメートル) で、体積では世界で 3 番目に大きい淡水湖です。深くて澄んだ水と険しい海岸線で知られています。",Lake Superior,スペリオル湖,open_qa
95,"Which state has the nickname ‘The Land of 10,000 Lakes’?","「10,000の湖の国」というニックネームを持つ州はどこですか?","The state with the nickname ‘The Land of 10,000 Lakes’ is Minnesota. Minnesota is known for its many lakes, with over 14,000 bodies of fresh water covering at least ten acres each. It is also known as the North Star State and the Gopher State. ","「10,000の湖の国」というニックネームを持つ州はミネソタ州です。ミネソタ州は多くの湖で知られており、それぞれ少なくとも 10 エーカーの面積を 14,000 以上の淡水が占めています。北極州およびゴーファー州としても知られています。",Minnesota,ミネソタ州,open_qa
